Generations;RWM1;RWM2;RWM3;RWM Avg;AWM1;AWM2;AWM3;AWM Avg;RWOM1;RWOM2;RWOM3;RWOM Avg;AWOM1;AWOM2;AWOM3;AWOM Avg
123;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
124;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
125;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
126;0,112;0,112;0,14;0,121;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
127;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
128;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
129;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
130;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
131;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
132;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
133;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
134;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
135;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
136;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
137;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
138;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
139;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
140;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
141;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
142;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
143;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
144;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
145;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
146;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
147;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
148;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
149;0,112;0,128;0,14;0,127;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
150;0,112;0,14;0,14;0,131;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
151;0,112;0,14;0,14;0,131;0,112;0,156;0,140;0,136;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
152;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
153;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
154;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
155;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
156;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
157;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,168;0,14;0,166;0,162;0,140;0,168;0,157
158;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
159;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
160;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
161;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
162;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
163;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
164;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
165;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
166;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
167;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,140;0,168;0,157
168;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
169;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
170;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
171;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
172;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
173;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
174;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
175;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,168;0,166
176;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
177;0,112;0,14;0,14;0,131;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
178;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
179;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
180;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
181;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
182;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
183;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
184;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
185;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
186;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
187;0,128;0,14;0,14;0,136;0,134;0,156;0,140;0,143;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
188;0,128;0,14;0,14;0,136;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
189;0,128;0,14;0,14;0,136;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
190;0,128;0,14;0,14;0,136;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
191;0,128;0,14;0,14;0,136;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
192;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
193;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
194;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
195;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,162;0,168;0,184;0,171
196;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
197;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
198;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
199;0,14;0,14;0,14;0,140;0,162;0,156;0,140;0,153;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
200;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
201;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
202;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
203;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
204;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
205;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
206;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
207;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
208;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
209;0,14;0,14;0,14;0,140;0,162;0,190;0,140;0,164;0,19;0,172;0,14;0,167;0,196;0,168;0,184;0,183
